City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Sonepur,IN,20.8333,83.9167,60.26,43,20,2.06,few clouds
133,Aklavik,CA,68.2191,-135.0107,-20.2,69,75,3.44,broken clouds
134,Vila Velha,BR,-20.3297,-40.2925,80.55,92,75,8.05,light rain
135,Troitsko-Pechorsk,RU,62.7084,56.1964,3.87,97,100,4.21,overcast clouds
136,Ambon,ID,-3.6954,128.1814,77.14,94,40,4.61,scattered clouds
137,Jaque,PA,7.5175,-78.1703,80.83,78,89,3.89,light rain
138,Pangnirtung,CA,66.1451,-65.7125,10.4,92,100,3.44,mist
139,Carnarvon,AU,-24.8667,113.6333,74.53,66,50,8.97,scattered clouds
140,Inhambane,MZ,-23.865,35.3833,76.66,77,100,9.71,overcast clouds
141,Pankrushikha,RU,53.8319,80.3406,14.22,85,38,10.6,scattered clouds
142,Omsukchan,RU,62.5333,155.8,9.79,97,98,5.86,overcast clouds
143,Taga,RO,46.95,24.05,25.12,42,96,1.28,overcast clouds
144,Faanui,PF,-16.4833,-151.75,80.4,75,13,17.36,few clouds
145,Mnogovershinnyy,RU,53.9353,139.9242,-6.23,79,100,9.19,overcast clouds
146,Boende,CD,-0.2167,20.8667,71.08,93,72,2.39,light rain
147,Flin Flon,CA,54.7682,-101.865,-13.16,64,40,6.91,scattered clouds
148,Ahipara,NZ,-35.1667,173.1667,63.84,85,5,5.17,clear sky
149,Tutin,RS,42.9903,20.3314,35.6,56,9,2.82,clear sky
150,Port Hedland,AU,-20.3167,118.5667,75.25,78,100,10.36,overcast clouds
151,Severnyy,RU,50.677,36.5532,32.04,51,0,11.18,clear sky
152,Straumen,NO,63.8709,11.2999,33.8,93,100,0.49,overcast clouds
153,Krasnoselkup,RU,65.7,82.4667,-12.08,93,100,9.01,overcast clouds
154,Lang Son,VN,21.8333,106.7333,55.87,35,96,9.93,overcast clouds
155,Gilgit,PK,35.9221,74.3087,32.32,43,0,4.12,clear sky
156,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,88,14.05,light rain
157,Taoudenni,ML,22.6783,-3.9836,70.56,22,0,10.78,clear sky
158,New Norfolk,AU,-42.7826,147.0587,54.9,98,30,2.08,scattered clouds
159,Brownwood,US,31.7093,-98.9912,48.2,85,100,6.91,overcast clouds
160,Mar Del Plata,AR,-38.0023,-57.5575,78.84,80,20,23.02,few clouds
161,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,20,9.22,few clouds
162,Tadine,NC,-21.55,167.8833,76.51,84,45,2.39,scattered clouds
163,Husavik,IS,66.0449,-17.3389,28.92,83,100,34.9,light snow
164,Gonen,TR,40.1049,27.654,46.36,70,17,14.9,few clouds
165,San Lorenzo,PY,-25.3333,-57.5333,97.74,27,75,9.22,broken clouds
166,Kloulklubed,PW,7.0419,134.2556,77.5,76,91,11.5,overcast clouds
167,Villazon,BO,-22.0866,-65.5942,66.78,25,53,9.73,broken clouds
168,Puerto Quijarro,BO,-17.7833,-57.7667,88.07,54,91,1.77,overcast clouds
169,Zapolyarnyy,RU,69.4154,30.8136,15.08,96,100,4.85,overcast clouds
170,Dauphin,CA,51.1494,-100.0502,-11.06,64,20,10.36,haze
171,Puerto Ayora,EC,-0.7393,-90.3518,82.36,88,71,7.0,broken clouds
172,Kulhudhuffushi,MV,6.6221,73.07,81.79,70,100,4.38,overcast clouds
173,Kapaa,US,22.0752,-159.319,75.18,80,0,9.22,clear sky
174,Uchaly,RU,54.2996,59.4521,-8.1,96,9,4.18,clear sky
175,Mandalgovi,MN,45.7625,106.2708,6.17,55,6,19.42,clear sky
176,Tuchola,PL,53.5879,17.8591,37.81,86,100,10.92,overcast clouds
177,Caravelas,BR,-17.7125,-39.2481,81.34,70,6,10.04,clear sky
178,Palmer,US,42.1584,-72.3287,39.49,50,20,11.5,few clouds
179,Luoyang,CN,34.6836,112.4536,35.28,43,0,5.77,clear sky
180,Pacific Grove,US,36.6177,-121.9166,56.66,74,20,8.01,few clouds
181,Severo-Kurilsk,RU,50.6789,156.125,29.1,93,100,36.93,snow
182,Poum,NC,-20.2333,164.0167,77.79,80,44,13.4,scattered clouds
183,Kodiak,US,57.79,-152.4072,27.91,69,100,12.66,overcast clouds
184,Ivybridge,GB,50.3904,-3.9191,47.86,91,78,7.43,broken clouds
185,Lawrenceburg,US,38.0373,-84.8966,46.99,45,0,3.44,clear sky
186,Kaoma,ZM,-14.7833,24.8,67.6,84,100,0.4,light rain
187,Beausejour,CA,50.0622,-96.5167,-4.14,88,100,10.33,overcast clouds
188,Singaraja,ID,-8.112,115.0882,79.43,75,100,3.2,overcast clouds
189,Victoria,HK,22.2855,114.1577,65.25,63,100,4.0,overcast clouds
190,Seminole,US,28.7086,-81.2081,72.09,84,100,6.91,light rain
191,Iesolo,IT,45.5331,12.6448,41.07,74,93,3.29,overcast clouds
192,Jiangyou,CN,31.7667,104.7167,41.65,57,0,2.13,clear sky
193,Conceicao Do Araguaia,BR,-8.2578,-49.2647,82.15,74,100,3.04,overcast clouds
194,Razole,IN,16.4833,81.8333,68.76,81,98,4.21,overcast clouds
195,Klaksvik,FO,62.2266,-6.589,41.92,85,100,19.62,light rain
196,Bredasdorp,ZA,-34.5322,20.0403,63.37,60,80,10.11,broken clouds
197,Baruun-Urt,MN,46.6806,113.2792,-9.89,92,83,3.67,broken clouds
198,Broken Hill,AU,-31.95,141.4333,71.2,62,97,7.67,overcast clouds
199,Kulim,MY,5.365,100.5618,80.13,94,100,3.94,overcast clouds
200,Pyaozerskiy,RU,65.8333,31.1667,19.51,94,100,8.3,light snow
201,Cap Malheureux,MU,-19.9842,57.6142,77.47,68,63,5.01,broken clouds
202,Merrill,US,45.1805,-89.6835,11.17,72,40,0.0,haze
203,Najran,SA,17.4924,44.1277,59.65,45,98,2.71,overcast clouds
204,Corrente,BR,-3.7367,-43.3394,93.2,34,100,3.22,overcast clouds
205,Yima,CN,34.7381,111.8839,31.06,48,0,6.62,clear sky
206,Labuhan,ID,-6.8844,112.2051,78.84,83,100,4.21,overcast clouds
207,Roebourne,AU,-20.7833,117.1333,74.97,69,100,11.81,overcast clouds
208,Minab,IR,27.1467,57.0801,68.79,27,0,13.71,clear sky
209,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,92,100,16.26,overcast clouds
210,Wanaka,NZ,-44.7,169.15,54.1,80,96,1.01,overcast clouds
211,Barnsley,GB,53.55,-1.4833,44.56,84,100,12.44,overcast clouds
212,Lakselv,NO,70.0513,24.9718,19.22,86,75,4.61,broken clouds
213,Jalu,LY,29.0331,21.5482,62.28,67,5,9.62,clear sky
214,Jasper,US,37.2001,-94.3502,36.84,81,100,9.22,mist
215,Junnar,IN,19.2,73.8833,67.86,41,0,3.4,clear sky
216,Karsun,RU,54.1994,46.9827,19.74,92,100,6.02,overcast clouds
217,Upernavik,GL,72.7868,-56.1549,9.73,99,100,14.72,overcast clouds
218,Cefalu,IT,38.0386,14.0229,57.54,78,0,3.0,clear sky
219,Padang,ID,-0.9492,100.3543,77.05,87,97,3.78,heavy intensity rain
220,Yabelo,ET,4.8833,38.0833,65.93,28,34,10.49,scattered clouds
221,Bongandanga,CD,1.5,21.05,72.34,91,100,3.31,moderate rain
222,Touros,BR,-5.1989,-35.4608,82.36,66,0,14.92,clear sky
