City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Kinshasa,CD,2022-12-19 19:00:02,-4.3246,15.3215,71.96,92,100,0.96
166,Pevek,RU,2022-12-19 19:04:37,69.7008,170.3133,18.48,61,1,9.04
167,Kaihua,CN,2022-12-19 19:04:37,23.3687,104.28,40.41,88,33,5.41
168,Rabo De Peixe,PT,2022-12-19 19:04:37,37.8,-25.5833,64.27,98,40,14.97
169,New Norfolk,AU,2022-12-19 19:04:38,-42.7826,147.0587,51.71,76,4,1.01
170,San Policarpo,PH,2022-12-19 19:04:38,12.1791,125.5072,77.4,89,100,16.24
171,Uruzgan,AF,2022-12-19 19:04:39,32.8333,66.0,38.86,58,0,1.72
172,Ostrovnoy,RU,2022-12-19 19:04:39,68.0531,39.5131,16.54,92,98,12.73
173,Narsaq,GL,2022-12-19 19:04:39,60.9167,-46.05,8.82,65,7,7.96
174,Auki,SB,2022-12-19 19:03:00,-8.7676,160.7034,76.73,87,99,3.58
175,Souillac,MU,2022-12-19 19:04:40,-20.5167,57.5167,75.58,83,40,1.14
176,Hami,CN,2022-12-19 19:04:40,42.8,93.45,20.23,48,15,2.28
177,Mandera,KE,2022-12-19 19:04:40,3.9366,41.867,82.76,24,13,7.74
178,Sretensk,RU,2022-12-19 19:04:41,52.2453,117.7093,-12.93,99,100,0.74
179,Aleppo,SY,2022-12-19 19:04:41,36.25,37.5,52.93,47,6,3.51
180,Los Llanos De Aridane,ES,2022-12-19 19:04:41,28.6585,-17.9182,65.95,78,20,3.44
181,Port Lincoln,AU,2022-12-19 19:04:42,-34.7333,135.8667,64.63,71,84,1.41
182,Ferrol,ES,2022-12-19 19:04:42,43.4832,-8.2369,60.71,93,100,12.53
183,Mount Isa,AU,2022-12-19 19:01:09,-20.7333,139.5,73.17,83,100,4.61
184,Dingle,PH,2022-12-19 19:04:43,10.9995,122.6711,74.48,93,100,8.03
185,Solnechnyy,RU,2022-12-19 19:04:43,50.7214,136.6319,-15.47,95,34,4.07
186,Bowen,AU,2022-12-19 19:05:43,-20.0167,148.2333,77.27,62,31,17.29
187,Tasiilaq,GL,2022-12-19 19:05:44,65.6145,-37.6368,12.36,56,0,5.06
188,Kirakira,SB,2022-12-19 19:05:44,-10.4544,161.9205,79.5,84,27,5.79
189,Anloga,GH,2022-12-19 19:05:44,5.7947,0.8973,81.52,78,72,11.81
190,Coihaique,CL,2022-12-19 19:05:45,-45.5752,-72.0662,72.21,32,75,5.75
191,Ravar,IR,2022-12-19 19:05:45,31.2656,56.8055,45.34,55,6,2.42
192,Komsomolskiy,UZ,2022-12-19 19:05:45,40.4272,71.7189,29.12,86,100,4.61
193,Birnin Kebbi,NG,2022-12-19 19:05:46,12.4539,4.1975,76.12,15,4,9.98
194,Hofn,IS,2022-12-19 19:05:46,64.2539,-15.2082,30.22,80,100,21.85
195,Samarai,PG,2022-12-19 19:05:46,-10.6167,150.6667,81.61,80,79,9.26
196,Nome,US,2022-12-19 19:05:47,64.5011,-165.4064,15.87,45,0,13.8
197,Sabang,ID,2022-12-19 19:05:47,5.8933,95.3214,79.16,83,97,13.02
198,Petrovsk,RU,2022-12-19 19:05:47,52.3064,45.3917,20.35,87,98,9.19
199,Caravelas,BR,2022-12-19 19:05:48,-17.7125,-39.2481,79.95,73,100,8.99
200,Tulum,MX,2022-12-19 19:05:48,20.2167,-87.4667,83.25,54,7,8.52
201,Belaya Gora,RU,2022-12-19 19:05:48,68.5333,146.4167,-9.45,98,100,2.93
202,Tuktoyaktuk,CA,2022-12-19 19:05:49,69.4541,-133.0374,-22.77,99,97,7.07
203,Sirur,IN,2022-12-19 19:05:49,18.8333,74.3833,69.21,31,7,4.9
204,Hobyo,SO,2022-12-19 19:05:49,5.3505,48.5268,79.09,78,9,18.99
205,Nemuro,JP,2022-12-19 19:05:50,43.3236,145.575,22.89,70,9,14.45
206,Meulaboh,ID,2022-12-19 19:05:50,4.1363,96.1285,75.72,91,100,3.67
207,Piracuruca,BR,2022-12-19 19:05:50,-3.9281,-41.7092,98.51,27,98,6.04
208,Shambu,ET,2022-12-19 19:05:51,9.5667,37.1,54.03,71,99,2.68
209,San Quintin,MX,2022-12-19 19:05:51,30.4833,-115.95,63.77,47,0,4.74
210,Clyde River,CA,2022-12-19 19:05:51,70.4692,-68.5914,6.19,93,100,11.9
211,Qadirpur Ran,PK,2022-12-19 19:05:51,30.2924,71.6712,57.09,27,3,3.02
212,Porto Murtinho,BR,2022-12-19 19:05:52,-21.6989,-57.8825,88.88,48,97,3.85
213,Umm Lajj,SA,2022-12-19 19:05:52,25.0213,37.2685,77.36,51,1,3.67
214,Rawson,AR,2022-12-19 19:05:53,-43.3002,-65.1023,71.28,41,100,21.65
215,Terrasini,IT,2022-12-19 19:05:53,38.146,13.0844,59.22,80,0,9.22
216,Boyolangu,ID,2022-12-19 19:05:53,-8.1181,111.8935,74.7,89,27,1.14
217,Winneba,GH,2022-12-19 19:05:53,5.3511,-0.6231,79.88,82,60,8.43
218,Tel Aviv-Yafo,IL,2022-12-19 19:05:54,32.0805,34.7805,63.1,62,0,2.3
219,Tselinnoye,RU,2022-12-19 19:05:54,53.0833,85.6667,21.47,95,100,14.7
