City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Cabanas,CU,83.19,few clouds,22.9758,-82.9219,Vista Hermosa
433,Taltal,CL,72.45,few clouds,-25.4,-70.4833,Hostería Taltal
434,Sinnamary,GF,81.19,broken clouds,5.3833,-52.95,Hôtel du fleuve
440,San Ignacio,BZ,78.94,light rain,17.1561,-89.0714,Rainforest Haven Inn
442,San Pedro,PH,76.23,overcast clouds,14.35,121.0167,Hotel Takara
448,Panguipulli,CL,72.41,overcast clouds,-39.6333,-72.3333,Cabañas Villa Los Encinos
454,Alice Springs,AU,74.75,few clouds,-23.7,133.8833,Aurora Alice Springs
462,Huancabamba,PE,70.66,overcast clouds,-5.2386,-79.4506,Hotel Chicuate
463,Bintulu,MY,77.41,moderate rain,3.1667,113.0333,Bakun Inn
466,Barreirinhas,BR,84.9,overcast clouds,-2.7469,-42.8264,Pousada Matriz
468,Vangaindrano,MG,74.16,heavy intensity rain,-23.35,47.6,Fanilo
470,San-Pedro,CI,79.47,light rain,4.7485,-6.6363,Hôtel La Cité De San Pédro
473,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
479,Acajutla,SV,84.67,clear sky,13.5928,-89.8275,Hotel Lara
482,Sambava,MG,76.51,few clouds,-14.2667,50.1667,Royal Sava Hôtel
483,Sur,OM,74.35,scattered clouds,22.5667,59.5289,Sur Hotel
492,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Port Wine Guest House
494,Chuy,UY,74.86,clear sky,-33.6971,-53.4616,Alerces
496,Ovalle,CL,88.79,clear sky,-30.5983,-71.2003,Hotel Roxy
508,Aquiraz,BR,87.89,broken clouds,-3.9014,-38.3911,Pousada tia Fabíola
525,Sao Jose Da Coroa Grande,BR,81.27,clear sky,-8.8978,-35.1478,Hotel do Sol
534,Rio Gallegos,AR,71.65,clear sky,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
535,Loa Janan,ID,73.87,overcast clouds,-0.583,117.095,Putri Ayu Cottage
536,Trincomalee,LK,79.18,moderate rain,8.5711,81.2335,Silver Star Inn
